Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000016213500,โรงสีรวมใจเจริญทรัพย์,,,,,New Accounts,,QNorth,,,36535350,085 494 9969,,,,สิงห์บุรี,,,,,0173534000098,,20201125T12:08:02+07:00,20250324T14:51:54+07:00,20251223T10:31:05+07:00,สุนิษา ภิญโญ,ไม่มีการใช้งาน PPW,1.2.1.1 ข้าวตรา,ห้างหุ้นส่วนจำกัด,10611,32/6 หมู่ที่ 3 ต.บางระจัน อ.ค่ายบางระจัน,,
3015191000013829600,โรงสีเรืองไทย,,,,,New Accounts,,QNorth,,,56271193,,,,อ.ลาดยาว,นครสวรรค์,,,,,0605545000130,,20200915T15:15:38+07:00,20240722T17:07:09+07:00,20251215T09:45:01+07:00,สุนิษา ภิญโญ,,1.2.1.1 ข้าวตรา,บริษัทจำกัด,10611,189 หมู่ที่ 6 ต.ลาดยาว,,
3015191000013638000,โชคสันต,,,,,New Accounts,,QNorth,,,864409553,,,,อ.บางระกำ,พิษณุโลก,,,,,0653552000652,,20200908T13:40:37+07:00,20240920T16:20:43+07:00,20240920T16:20:43+07:00,สุนิษา ภิญโญ,Account ซ้ำกัน,1.2.1.1 ข้าวตรา,ห้างหุ้นส่วนจำกัด,10611,20/2 หมู่ที่ 2 ต.บ่อทอง,,
3015191000013589500,สุวิทย์ไรซ์มิลล์,,,,,New Accounts,,QNorth,,,845453654,056 248 591,,,,นครสวรรค์,,,,,0603549001899,,20200905T19:51:46+07:00,20240722T17:07:09+07:00,20251215T09:45:01+07:00,สุนิษา ภิญโญ,,1.3 Feed&Food อื่นๆ,ห้างหุ้นส่วนจำกัด,10611,99/2 หมู่ที่ 5 ต.ท่าตะโก อ.ท่าตะโก,,
3015191000058928000,บ้านสระข้าวดี,,,,,New Accounts,,QWest,,,,,,,,สุพรรณบุรี,,,,,0725555000191,170000000,20240228T15:28:32+07:00,20240722T17:02:51+07:00,20251106T11:28:06+07:00,ชินดนัย ศรีธรรม,,1.2.1.1 ข้าวตรา,บริษัทจำกัด,10611,45 หมู่ที่ 2 ต.บ้านสระ อ.สามชุก จ.สุพรรณบุรี,,
3015191000051384300,โรงสีวงศ์ทวีทรัพย์,,,,,New Accounts,,QWest,,,,,,,,เพชรบุรี,,,,,0763533000226,4800000,20230905T17:26:11+07:00,20250904T15:42:40+07:00,20251226T10:36:44+07:00,ชินดนัย ศรีธรรม,,1.2.1.1 ข้าวตรา,ห้างหุ้นส่วนจำกัด,10611,213/1 ถ. เพชรเกษม ตำบล บางเค็ม อำเภอเขาย้อย,,
3015191000049939000,เพชรภักดีพาณิชย์,,,,,New Accounts,,QWest,,,35587110,,,,,สุพรรณบุรี,,,สุพรรณบุรี,,0723530000136,1000000,20230727T17:25:11+07:00,20240722T16:58:44+07:00,20251128T14:53:10+07:00,ชินดนัย ศรีธรรม,ก้อง,1.2.1.1 ข้าวตรา,ห้างหุ้นส่วนจำกัด,10611,1567 หมู่ที่ 4 ตำบลบางปลาม้า อำเภอบางปลาม้า,,
3015191000049440300,โรงสีตั้งไถ่เฮง,,,,,New Accounts,,QWest,,,34881666,,,,,สมุทรสาคร,บ้านแพ้ว,,,,0745549000389,5000000,20230717T17:50:53+07:00,20240722T16:58:44+07:00,20251031T10:49:54+07:00,อิสราวลี ตนเสาวภาคย์ชลที,ก้อง,1.2.1.1 ข้าวตรา,บริษัทจำกัด,10611,3 หมู่ที่ 4 ตำบลหนองบัว อำเภอบ้านแพ้ว,,
3015191000049419300,โรงสีแสงศักดิ์,,,,,New Accounts,,QWest,,,34658085,,,,,กาญจนบุรี,,,,,0715560003348,2000000,20230715T20:47:03+07:00,20240722T16:58:44+07:00,20251120T14:42:10+07:00,ชินดนัย ศรีธรรม,ก้อง,1.2.1.1 ข้าวตรา,บริษัทจำกัด,10611,95/1 หมู่ที่ 3 ตำบลบ้านใหม่ อำเภอท่าม่วง,,
3015191000045342000,ข้าวนครกาญจน์,,,,,New Accounts,,QWest,,,,,,,,กาญจนบุรี,,,,,0715563000226,11000000,20230321T18:01:07+07:00,20240722T16:59:01+07:00,20251028T14:47:41+07:00,ชินดนัย ศรีธรรม,ก้อง,1.2.1.1 ข้าวตรา,บริษัทจำกัด,10611,9 หมู่ที่ 9 ต.ตะคร้ำเอน อ.ท่ามะกา จ.กาญจนบุรี,,
