Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000031311000,ซึชิโยชิ สมบูรณ์ โคเตท แซนด์,,,,,New Accounts,,QEast,,,038954020,,,,,ระยอง,,,,,0105538080284,72000000,20220208T10:23:57+07:00,20240726T16:22:42+07:00,20250310T23:34:34+07:00,สุนิสา กล้าแข็ง,,2.7 Non Food อื่นๆ,บริษัทจำกัด,,19 หมู่ที่ 4 ต.ปลวกแดง อ.ปลวกแดง,,
3015191000030173000,ไดอะโพลีอะคริเลต,,,,,New Accounts,,QEast,,,,,,,,กรุงเทพมหานคร,,,,,0105534057857,233122500,20220106T15:14:30+07:00,20240726T16:22:42+07:00,20251215T09:44:58+07:00,สุนิสา กล้าแข็ง,,2.3.2 Plastic Compound Resin,บริษัทจำกัด,,100/62 อาคารสาธรนครทาวเวอร์ ชั้น 30 ถนนสาทรเหนือ สีลม เขตบางรัก,,
3015191000030109000,มิตซุย ไฮยีน แมททีเรียลส์,,,,,New Accounts,,QEast,,,033684289,,,,,ระยอง,,,,,0105544073324,1310150000,20220105T13:50:12+07:00,20240726T16:22:42+07:00,20250709T13:14:09+07:00,สุนิสา กล้าแข็ง,,2.3.2 Plastic Compound Resin,บริษัทจำกัด,,64/45 หมู่ 4 ต.ปลวกแดง อ.ปลวกแดง,,
3015191000030109000,พิราป สทาช,,,,,NonActive,,QEast,023117870,,038593205,,,,,ฉะเชิงเทรา,,,,,0105526047651,10000000,20220105T13:38:19+07:00,20251212T13:32:04+07:00,20251216T09:47:06+07:00,สุนิสา กล้าแข็ง,,1.2.3.1 โรงงานแป้งมัน,บริษัทจำกัด,,74 หมู่ 22 ถ.สุวินทวงศ์. ตำบลศาลาแดง อำเภอบางน้ำเปรี้ยว,,
3015191000030109000,อิสเทิร์นปลาป่น,,,,,New Accounts,,QEast,034-250-432,,038648156,,,,,ระยอง,,,,,0215555003526,20000000,20220105T10:36:02+07:00,20240726T13:57:23+07:00,20251215T09:44:58+07:00,สุนิสา กล้าแข็ง,,1.1.2.2 ปลาป่น,บริษัทจำกัด,,49/1 หมู่ที่ 6 ต.แกลง อ.เมืองระยอง,,
3015191000029114400,ทีทีเอ็น นันวูเว่น โซลูชั่น,,,,,New Accounts,,QEast,038-445005,,022608700,,https://ttnsnonwoven.com/,,,กรุงเทพมหานคร,,,ชลบุรี,,0205533001016,,20211203T13:59:35+07:00,20240722T16:59:22+07:00,20251215T09:44:58+07:00,สุนิสา กล้าแข็ง,,,บริษัทจำกัด,,316/4148 ซ.สุขุมวิท 22 (สายน้ำทิพย์) แขวงคลองเตย เขตคลองเตย กรุงเทพฯ 10110,,
3015191000029114000,บริดจสโตน คาร์บอน แบล็ค (ประเทศไทย),,,,,New Accounts,,QEast,038-962552,,038946006,038946006,,,,ระยอง,,,ระยอง,,0105544110998,,20211203T11:48:38+07:00,20240726T14:20:43+07:00,20251215T09:44:57+07:00,สุนิสา กล้าแข็ง,,2.3.1 Basic Resin,บริษัทจำกัด,,,,
3015191000028668000,คาทูนนาที เซอร์วิสเซส (ประเทศไทย),,,,,New Accounts,,QEast,,,038643200,,www.katoennatie.com,,เมืองระยอง,ระยอง,,,,,0105541056038,150000000,20211122T15:20:30+07:00,20240722T16:59:41+07:00,20251215T09:44:58+07:00,สุนิสา กล้าแข็ง,,2.7 Non Food อื่นๆ,บริษัทจำกัด,,20 ถนนเมืองใหม่มาบตาพุดสาย 6 ต.ห้วยโป่ง,,
3015191000028510000,เซกิซุย สเปเชียลตี้ เคมิคอลส์ (ประเทศไทย),,,,,New Accounts,,QEast,,,,,https://www.sekisuisc.com,,,กรุงเทพมหานคร,,,,,0105556196884,563168000,20211117T17:05:46+07:00,20240722T16:59:41+07:00,20251215T09:44:57+07:00,สุนิสา กล้าแข็ง,,2.3.2 Plastic Compound Resin,บริษัทจำกัด,,968 ชั้น 12 อาคารอื้อจือเหลียง ถนนพระราม 4 สีลม เขตบางรัก กรุงเทพมหานคร,,
3015191000028087300,ทีพีที ปิโตรเคมิคอลส์,,,,,New Accounts,,QEast,0 3868 3288,,038683288,,,,,ระยอง,,,,,0107538000711,2955000000,20211104T16:25:18+07:00,20251208T15:13:03+07:00,20251216T14:41:28+07:00,ปุณยวีร์ สพัดรัมย์,,2.3.2 Plastic Compound Resin,บริษัทมหาชนจำกัด,,45/9 ถนน สาย 36 ตำบล นิคมพัฒนา อำเภอ นิคมพัฒนา หวัดระยอง 21180,,
3015191000027730400,พีทีที โกลบอล เคมิคอล,,,,,NonActive,,QEast,0-2265-8400,,,,,,,กรุงเทพมหานคร,,,ระยอง,,0107554000267,,20211026T12:07:46+07:00,20240726T14:19:35+07:00,20251215T09:44:58+07:00,สุนิสา กล้าแข็ง,,,บริษัทจำกัด,,555/1 ศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารเอ ชั้น 1418 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร,,
3015191000027730400,พีทีที เอ็มซีซี ไบโอเคม,,,,,New Accounts,,QEast,02-140-3555,,,,,,ระยอง,ระยอง,,,,,0105554045269,,20211026T11:42:06+07:00,20240726T16:22:42+07:00,20240726T16:22:42+07:00,สุนิสา กล้าแข็ง,,2.3.2 Plastic Compound Resin,บริษัทจำกัด,,เลขที่ 3/1 ม.2 ต.บ้านฉาง อ.บ้านฉาง,,
3015191000027709400,อูเบะ เคมิคอลส์ (เอเชีย) จำกัด (มหาชน),,,,,New Accounts,,QEast,02-6785450,,038928700,038928700,www.ube.co.th,,ต.ตะพง,ระยอง,ไทย,,ระยอง,,0107553000042,,20211025T17:55:48+07:00,20240726T14:06:35+07:00,20251215T09:44:58+07:00,สุนิสา กล้าแข็ง,,2.1.2 ปุ๋ยอินทรีย์/สารปรับปรุงดิน/สารเสริมพืช(ไม่ทำปุ๋ยเคมี),บริษัทมหาชนจำกัด,,เขตประกอบการ ไอ อาร์ พี ซี 140/6,,
